quantity,review,fname,orderid
7,Guacamole is safely colossal,Guacamole,1
7,Banh xeo is deftly unbecoming,Banh xeo,1
14,Kimchi is unethically bitter,Kimchi,1
20,Apple pie is viciously actually,Apple pie,1
1,Green curry chicken is below flaky,Green curry chicken,1
28,Ayam goreng is partially unfair,Ayam goreng,2
6,Rau muong is reluctantly sparkling,Rau muong,2
12,Kimchi is swiftly spurious,Kimchi,2
18,Bak kut teh is devotedly vast,Bak kut teh,2
10,Banh khot is steadily ashamed,Banh khot,2
3,Sundubu jjigae is occasionally shaky,Sundubu jjigae,3
10,Chiles en nogada is definitely elated,Chiles en nogada,3
14,Elote is busily null,Elote,3
30,Green curry chicken is rarely sturdy,Green curry chicken,3
5,Banh xeo is owlishly stiff,Banh xeo,3
5,Bak kut teh is never decisive,Bak kut teh,3
16,Fried carrot cake is previously political,Fried carrot cake,3
23,Hash browns is twice innate,Hash browns,3
14,Cheeseburger is heavily smiling,Cheeseburger,3
19,Sate is separately capricious,Sate,3
18,Spring rolls is vainly flashy,Spring rolls,4
14,Samgyeopsal is deftly near,Samgyeopsal,4
26,Enchiladas is dimly merciful,Enchiladas,4
6,Chole is frantically sick,Chole,5
5,Bak kut teh is widely obsequious,Bak kut teh,5
30,Donburi is merrily logical,Donburi,5
8,Tamales is else adventurous,Tamales,5
9,Tofu is mockingly acoustic,Tofu,5
8,Coconut milk curry is possibly nervous,Coconut milk curry,6
22,Sundubu jjigae is helplessly several,Sundubu jjigae,6
8,Rau muong is kindly abashed,Rau muong,6
4,Fish kidney curry is meaningfully functional,Fish kidney curry,6
4,Beef soup is naturally additional,Beef soup,6
5,Szechwan chilli chicken is cautiously dull,Szechwan chilli chicken,6
14,Gado gado is steadily gaping,Gado gado,6
9,Bakso is smoothly immediate,Bakso,6
12,Macaroni and Cheese is verbally spotless,Macaroni and Cheese,6
8,Goi cuon is daintily staking,Goi cuon,6
15,Palak paneer is jaggedly free,Palak paneer,6
2,Spaghetti Aglio Olio is wearily certain,Spaghetti Aglio Olio,7
19,Ga tan is upbeat cloudy,Ga tan,7
5,French fries is eagerly clean,French fries,7
14,Palak paneer is jaggedly logical,Palak paneer,7
19,Bottarga is woefully piquant,Bottarga,7
2,Fried carrot cake is elegantly fine,Fried carrot cake,7
16,Rau muong is jovially spiky,Rau muong,7
12,Bak chor mee is generously political,Bak chor mee,7
24,Macaroni and Cheese is officially tart,Macaroni and Cheese,8
5,Ayam goreng is tenderly fine,Ayam goreng,8
29,Chilaquiles is gratefully staking,Chilaquiles,8
2,Bak chor mee is warmly painful,Bak chor mee,8
13,Vegetable fried rice is frenetically somber,Vegetable fried rice,8
10,Chicken with chestnuts is unbearably slim,Chicken with chestnuts,8
5,Kaya toast is specifically acoustic,Kaya toast,8
15,Stir fried tofu with rice is loyally tangible,Stir fried tofu with rice,9
2,Guacamole is badly changeable,Guacamole,9
5,Apple pie is rather deranged,Apple pie,9
7,Beef rendang is automatically melodic,Beef rendang,9
5,Tofu is helpfully well-to-do,Tofu,9
24,Bak chor mee is deceivingly fuzzy,Bak chor mee,9
11,Ga tan is actually basic,Ga tan,9
17,Laksa is occasionally lyrical,Laksa,9
1,Macaroni and Cheese is rudely courageous,Macaroni and Cheese,9
5,Naan is loyally certain,Naan,9
14,Spaghetti Aglio Olio is violently overrated,Spaghetti Aglio Olio,9
11,Doughnut is however quiet,Doughnut,9
12,Elote is greedily smiling,Elote,9
4,Tom yum goong is anyway spurious,Tom yum goong,10
13,Sushi is vivaciously piquant,Sushi,10
11,Tamales is worriedly waiting,Tamales,10
4,Coconut milk curry is currently swanky,Coconut milk curry,10
13,Yakitori is lazily full,Yakitori,10
15,Dim sum is anyway future,Dim sum,11
6,Guacamole is normally skillful,Guacamole,11
8,Gogigui is deeply true,Gogigui,11
4,Natto is immediately squealing,Natto,11
4,Samgyeopsal is seriously serious,Samgyeopsal,11
20,Sour soup is greatly friendly,Sour soup,11
10,Murg makhani is frankly ashamed,Murg makhani,11
11,Soto is playfully rigid,Soto,11
10,Spaghetti Carbonara is violently abashed,Spaghetti Carbonara,11
5,Tom yum goong is primarily married,Tom yum goong,11
18,Kaya toast is similarly melodic,Kaya toast,11
20,Bhajji is evenly tacit,Bhajji,11
3,Goi cuon is offensively lucky,Goi cuon,11
12,Coconut milk curry is yearly elastic,Coconut milk curry,11
12,Sushi is annually selective,Sushi,12
11,Beef rendang is jealously aboriginal,Beef rendang,12
2,Chicken with chestnuts is reproachfully poor,Chicken with chestnuts,12
8,Oyster omelette is therefore tranquil,Oyster omelette,12
30,Cantonese chicken soup is forth hospitable,Cantonese chicken soup,12
3,Chicken galangal soup is dramatically rustic,Chicken galangal soup,12
26,Bottarga is honestly elated,Bottarga,12
4,Coconut milk curry is upright cumbersome,Coconut milk curry,12
12,Bibimbap is gently plant,Bibimbap,12
9,Spring rolls is possibly green,Spring rolls,12
10,Goi cuon is fatally rich,Goi cuon,12
7,Pork bulgogi is gleefully imminent,Pork bulgogi,13
6,Tempura is mockingly sexual,Tempura,13
8,Spaghetti Carbonara is automatically general,Spaghetti Carbonara,13
5,Stir fried tofu with rice is mortally auspicious,Stir fried tofu with rice,13
6,Palak paneer is fervently languid,Palak paneer,13
13,Chicken tikka masala is wisely momentous,Chicken tikka masala,13
20,French fries is thoroughly free,French fries,13
24,Coconut milk curry is really fast,Coconut milk curry,13
8,Laksa is greatly grubby,Laksa,14
21,Ossobuco is soon chief,Ossobuco,14
16,Rujak cingur is vivaciously female,Rujak cingur,14
14,Chiles en nogada is doubtfully curious,Chiles en nogada,14
1,French fries is willfully attractive,French fries,15
3,Soto is tediously fine,Soto,15
12,Chilaquiles is urgently confident,Chilaquiles,15
