orderid,paymentMethod,rating,location,fee,orderTime,departTime1,arriveTime,departTime2,deliveryTime,riderUsername,customerUsername,rname
0,Mastercard,2,Nibong,262.2,2020-01-15 16:32:12,2020-01-15 16:33:03,2020-01-15 16:34:06,2020-01-15 16:35:55,2020-01-15 16:40:31,m,customer17,Lee's Famous Recipe Chicken
1,Cash,1,Teck Lee,104.4,2020-01-15 16:24:17,2020-01-15 16:29:29,2020-01-15 16:34:58,2020-01-15 16:36:42,2020-01-15 16:41:19,ii,customer251,Chicken House
2,Mastercard,4,Toh Guan,183.6,2020-01-15 16:11:19,2020-01-15 16:14:18,2020-01-15 16:19:10,2020-01-15 16:22:17,2020-01-15 16:26:42,m,customer7,Fitness 19
3,Mastercard,5,Bishan,172.2,2020-01-15 16:37:25,2020-01-15 16:41:49,2020-01-15 16:42:53,2020-01-15 16:46:05,2020-01-15 16:50:46,hh,customer34,Farmer Boys
4,Cash,1,Nanyang Crescent,223.2,2020-01-15 16:29:32,2020-01-15 16:34:33,2020-01-15 16:39:35,2020-01-15 16:42:42,2020-01-15 16:45:53,uuu,customer149,Boston Market 381
5,Mastercard,3,Bukit Panjang,94.2,2020-01-15 16:53:40,2020-01-15 16:56:08,2020-01-15 17:1:21,2020-01-15 17:6:31,2020-01-15 17:8:44,hh,customer16,Luby's
6,Mastercard,3,Lavender,73.8,2020-01-15 16:27:44,2020-01-15 16:32:57,2020-01-15 16:37:54,2020-01-15 16:38:24,2020-01-15 16:41:21,l,customer104,Mc Donald's
7,Cash,3,Upper Changi,283.2,2020-01-15 17:18:08,2020-01-15 17:21:12,2020-01-15 17:22:59,2020-01-15 17:27:57,2020-01-15 17:29:14,hh,customer125,Pizza Primetime
8,Cash,1,Pasir Ris,82.8,2020-01-15 17:19:32,2020-01-15 17:24:31,2020-01-15 17:26:28,2020-01-15 17:30:38,2020-01-15 17:33:36,ii,customer113,Del Taco
9,Mastercard,2,Pending,169.2,2020-01-15 17:43:33,2020-01-15 17:46:02,2020-01-15 17:48:13,2020-01-15 17:49:15,2020-01-15 17:50:37,hh,customer211,Exxon
