Blue quarantine meal,Kam's Chop Suey,2020-02-19,2020-07-17,12
Hot grab item,Sonic Drive-In,2019-12-27,2020-09-05,15
Crazy vacay meal,Crispy Chicken & Seafood,2019-11-26,2020-06-06,18
Cool quarantine order,Gold Star Chili,2020-02-18,2020-07-06,12
Cool day item,Taco Bell/Pizza Hut Express,2020-01-30,2020-06-26,12
Hot day snack,Carl's Jr - Green Burrito,2020-01-19,2020-02-20,15
Smart rest order,The Press Club,2020-01-06,2020-08-20,12
Hot grab item,Rancher's Roast Beef Inc.,2020-04-27,2020-08-21,15
Chill day snack,31st Avenue Gyro,2019-11-11,2020-06-08,18
Romantic holiday food,Aprisa Mexican Cuisine,2020-02-16,2020-09-20,8
Blue day meal,The Halal Guys,2020-03-20,2020-09-17,12
Cool grab food,Fuku,2020-01-26,2020-03-09,15
Smart home item,Integrated Therapy Specialists: Arnold D Larson,2020-05-13,2020-08-05,10
Crazy stay food,Bad Daddys Burger Bar,2020-03-27,2020-07-20,12
Cool quarantine meal,Fallguys Burger Company,2019-11-06,2020-02-23,10
Romantic holiday snack,Scoopers,2019-12-31,2020-04-06,2
Smart stay order,Thrashers French Fries,2020-02-18,2020-10-22,12
Romantic rest order,Your Healthy Habit,2020-01-16,2020-01-18,15
Perfect home food,Culver's,2020-06-13,2020-07-30,10
Smart quarantine order,Smashburger,2019-11-12,2020-02-20,5
Special quarantine order,Ball State Lafollette Dining,2019-11-01,2020-05-15,8
Amazing vacay order,Crown Fried Chicken,2019-11-01,2020-04-02,12
Hot quarantine item,Spangles,2020-08-20,2020-10-03,5
Hot quarantine snack,Food 4 Less,2020-09-08,2020-10-10,12
Great vacay snack,Steak 'N Shake,2019-11-23,2020-09-28,15
White vacay food,Long John Silvers,2020-08-16,2020-10-13,2
Cool stay order,Mariu Kebabberia Gastronomica,2020-02-20,2020-09-09,10
Hot rest meal,Auntie Anne's,2019-12-12,2020-01-06,8
Chill day order,Wendys,2020-03-20,2020-05-09,10
Romantic home food,Great Steak And Potato Co,2020-05-11,2020-10-20,2
Good home snack,King Grill,2019-11-13,2020-07-11,2
Blue holiday item,Rally's Hamburgers,2020-01-03,2020-08-08,5
Crazy home order,Cook-Out,2020-03-04,2020-05-26,2
Super stay order,Chick-fil-a Truett's Luau,2020-03-23,2020-04-06,15
Special stay snack,Taqueria,2019-12-05,2020-02-14,15
Good grab meal,Hunam Garden,2020-01-30,2020-09-19,10
Perfect vacay food,Waffle House,2020-02-10,2020-04-23,5
Perfect holiday order,L&L Hawaiian Barbecue,2019-12-11,2020-09-08,15
Great home item,Capriotti's Sandwich Shop,2020-04-02,2020-09-23,12
Super day item,Carl's Jr,2019-12-19,2020-06-06,8
Hot day snack,Aprisa Mexican Cuisine,2020-07-10,2020-07-21,2
Special home item,Mariu Kebabberia Gastronomica,2020-04-03,2020-10-17,10
Good holiday order,Steak 'N Shake,2020-05-01,2020-07-10,8
Hot vacay meal,Iceberg Drive Inn,2020-04-08,2020-04-16,15
Romantic stay snack,Tom & Jerry's,2019-11-16,2019-12-03,10
Great vacay snack,El Paragua Restaurant,2020-02-15,2020-06-24,8
Special quarantine snack,Cousins Subs,2020-02-07,2020-05-31,5
Super day order,Hometown Buffet,2020-08-27,2020-10-17,5
Blue vacay food,Kfc,2019-11-30,2019-12-17,12
Smart quarantine meal,Charley's Grilled Subs,2019-12-28,2020-09-24,12
Great stay meal,Pizza One,2019-12-04,2020-03-01,10
Hot quarantine meal,Chicken Express,2020-01-30,2020-06-13,12
Hot grab order,Arbys,2020-09-03,2020-09-12,15
Special vacay snack,Hermosa,2020-05-10,2020-07-21,15
Chill day snack,Dan's Seafood & Chicken,2019-11-17,2020-08-03,15
Amazing rest order,Gianni's Pizza,2020-03-11,2020-06-13,15
Blue grab meal,Nick's Gyros,2019-12-18,2020-02-29,5
Great vacay snack,El Pollo Loco,2019-11-30,2020-06-28,12
Blue quarantine meal,Taco Time,2020-05-04,2020-05-21,2
Perfect stay item,Maui Tacos,2020-05-03,2020-05-11,15
Crazy stay order,In-A-Tub,2020-01-28,2020-10-22,15
Cool day order,Seaside Eatery,2020-03-09,2020-06-30,10
Amazing vacay food,Steak 'n Shake,2020-01-07,2020-10-05,18
Hot day food,Waffle House,2020-01-03,2020-06-15,12
Blue rest meal,Carls Jr,2019-12-16,2020-02-15,15
Chill home item,Frisch's Big Boy,2020-04-29,2020-07-16,8
Great stay meal,Arby's Antigo,2020-04-23,2020-05-03,2
Good grab food,Noodles & Company,2020-04-24,2020-08-27,8
Blue vacay item,Subway - Roland Park,2019-12-12,2020-09-25,15
Special quarantine meal,Charlie Browns,2020-03-20,2020-06-21,12
Special stay snack,Charcoal Delights,2020-05-22,2020-06-03,15
Super grab snack,Windmill Gourmet Fast Foods,2020-01-05,2020-10-13,10
Perfect holiday food,Lukes on Harlem,2020-04-05,2020-05-21,10
Blue home meal,Mc Donalds,2020-03-27,2020-10-22,8
Blue holiday order,Luxor Food Court,2020-02-18,2020-09-27,18
Cool day meal,Baskin-Robbins,2019-12-29,2020-10-24,12
Romantic rest snack,Tom's Grill,2020-02-18,2020-06-30,8
Hot day order,Siam To Go,2020-10-05,2020-10-19,12
Amazing rest snack,DQ Grill & Chill / Orange Julius,2020-04-25,2020-09-05,15
White holiday food,Fab Wings N Burgers,2019-12-19,2020-09-06,18
Cool grab meal,Taco Mayo,2019-12-28,2020-09-21,15
Good stay meal,Omega Drive-In,2020-05-28,2020-09-07,12
Chill grab meal,A & W Family Restaurant,2019-12-13,2020-09-09,2
White rest snack,Sarku Japan,2020-02-10,2020-04-09,10
Romantic quarantine order,Thunder Ridge Ampride,2019-11-17,2020-01-19,8
Crazy rest food,Sheetz,2019-11-07,2020-07-08,15
Good quarantine snack,Nielsen's Frozen Custard,2020-08-24,2020-09-10,5
Chill rest order,Sheetz,2020-07-18,2020-09-05,15
White home food,Old Country Buffet,2019-11-12,2020-09-08,12
Crazy stay meal,Chick-Fil-A,2020-05-29,2020-06-23,15
Smart quarantine meal,Dawg House Grill,2020-02-19,2020-04-08,12
Crazy grab meal,Regal Cinemas Tikahtnu  16 IMAX & RPX,2020-10-06,2020-10-15,2
Chill quarantine food,Dunkin Donuts,2020-03-04,2020-10-25,2
Blue home order,Dunkin' Donuts,2020-05-04,2020-08-21,10
Cool rest item,Tropical Smoothie Cafe,2019-12-02,2020-05-27,10
Amazing grab snack,Papagus Gyros,2020-03-20,2020-06-08,12
Special home meal,Kim Lee Fast Food,2020-04-14,2020-07-08,12
Special holiday order,Samurai Sam's,2019-12-28,2020-07-10,5
Special stay meal,Blimpie,2020-08-12,2020-08-30,10
Hot holiday food,name,2020-02-01,2020-05-22,5
Amazing vacay item,Redbox,2019-12-08,2020-10-22,5
Super grab item,Moe's Original Bar B Que,2020-04-06,2020-09-22,2
Amazing stay meal,Goodcents Deli Fresh Subs,2019-11-29,2020-04-01,10
Great quarantine order,Rallys,2020-02-22,2020-08-25,15
Perfect holiday snack,The Pizza Pipe Line,2020-03-02,2020-03-05,18
Crazy grab snack,Papa Johns Pizza,2019-11-30,2020-10-19,12
Blue rest order,Bamboo Bistro,2020-04-06,2020-08-03,8
Amazing quarantine meal,Dan's Seafood & Chicken,2019-11-14,2020-01-14,10
Cool vacay order,Frisch's Big Boy,2020-07-17,2020-07-23,5
Perfect grab order,Auntie Anne's,2020-05-08,2020-10-17,2
Blue day meal,The Biscuit Factory,2019-11-26,2019-12-08,15
Crazy holiday food,Long John Silvers,2019-11-16,2020-06-04,12
Smart grab food,Einstein Bros Bagels,2019-12-28,2020-09-03,12
White day food,Meatheads,2020-04-17,2020-08-03,15
Good stay meal,The Pita Pit,2019-11-09,2020-03-22,5
Smart day order,Jimmy John's,2019-12-08,2020-04-21,12
White vacay snack,D'angelo Grilled Sandwiches,2020-07-18,2020-08-20,18
Perfect holiday meal,Port Of Subs,2020-03-22,2020-04-20,15
Romantic grab item,Scoopers,2019-11-14,2020-03-16,8
Crazy stay item,Church's Chicken,2020-06-01,2020-08-08,10
Chill home snack,Sarku Japan,2020-06-03,2020-07-30,10
Hot home order,Flip Burger Bar,2020-03-07,2020-09-29,12
White rest snack,Gabby's Burgers & Fries,2020-02-29,2020-09-14,15
Super grab food,Burger King Salou,2020-01-19,2020-01-25,10
White rest meal,Saladworks,2020-02-25,2020-09-24,8
Super stay food,A&W All-American Food,2020-08-05,2020-09-01,10
White home food,Pita Pit,2020-01-25,2020-09-23,12
Crazy grab food,Whataburger,2020-06-07,2020-08-16,2
Super home food,KFC - Kentucky Fried Chicken,2020-08-28,2020-10-08,10
Blue rest food,Bad Daddys Burger Bar,2019-12-26,2020-07-31,15
Amazing stay snack,Ryan's,2019-11-01,2020-09-02,12
Crazy grab meal,Jim Bob's Chicken Fingers,2020-04-16,2020-06-26,5
Super day snack,Chuck Wagon,2019-12-22,2020-08-30,8
Smart holiday snack,Garden Fast Food,2020-07-01,2020-07-17,10
Smart rest order,World Wrapps,2020-02-23,2020-05-26,10
Romantic day order,Freddy's Steakburger,2020-04-16,2020-09-29,10
Hot quarantine meal,Popeyes Louisiana Kitchen,2020-04-28,2020-08-05,12
Good day item,St Louis Original Hamburgers,2020-09-13,2020-10-08,10
Amazing day order,Old Country Buffet,2020-02-21,2020-03-26,12
Good quarantine snack,KFC,2020-03-01,2020-05-31,18
Perfect rest order,Firehouse Subs,2019-11-13,2019-12-19,12
Super vacay order,Hardee's / Red Burrito / Dough Boys,2020-02-17,2020-08-17,2
Super home meal,Kings Contrivance Jewelers,2019-11-26,2020-02-23,10
Cool day meal,Tom & Jerry's,2020-03-25,2020-09-27,10
Special vacay meal,Moe's Southwest Grill,2020-03-21,2020-10-26,15
Blue quarantine snack,Home Town Buffet,2020-01-31,2020-10-20,12
Good vacay item,Iceberg Drive Inn,2019-12-24,2020-02-19,10
Cool vacay meal,Pita Pit,2019-12-05,2020-07-22,10
Romantic vacay food,A&w Restaurant,2020-01-08,2020-06-06,10
Super holiday meal,A&W,2020-01-29,2020-10-27,12
Amazing rest snack,Boston Market,2019-12-03,2020-01-13,10
Good stay item,Einstein Bros Bagels,2020-06-06,2020-06-13,18
Smart quarantine meal,Cousins Subs of Green Bay - Oneida St. & Ramada Way,2019-12-11,2020-10-17,15
Smart quarantine snack,St Louis Original Hamburgers,2019-11-05,2019-12-25,12
Crazy holiday order,Quizno's +,2020-03-27,2020-07-04,12
Amazing quarantine order,Papa John's,2019-11-12,2019-12-15,8
Crazy holiday item,Mazatlan Mexican Restaurant,2020-02-23,2020-10-15,12
White stay order,Schlotzsky's,2020-04-28,2020-10-10,15
Crazy day meal,Penguin Point,2020-02-15,2020-03-03,12
Chill holiday meal,A&W All-American Food,2020-02-06,2020-08-04,2
Perfect stay order,Ll Hawaiian Barbecue,2019-12-19,2020-03-20,10
Crazy holiday snack,Gold Star Chili,2020-02-01,2020-10-01,10
Hot holiday snack,Milo's Hamburgers,2020-04-25,2020-08-30,5
Crazy grab food,Cinnabon,2019-12-10,2020-09-26,2
Great rest meal,Domino's Pizza,2020-04-16,2020-09-19,15
Blue rest item,Bob Evans Restaurant,2020-02-06,2020-10-17,18
Super home order,DQ Grill & Chill,2020-01-28,2020-04-30,12
Smart vacay meal,Windmill Gourmet Fast Foods,2020-06-27,2020-07-25,2
White grab meal,P. Terry's,2020-05-03,2020-05-14,10
Good day food,Hot Dog on a Stick,2019-12-12,2020-03-14,5
Amazing grab item,Boston Market 381,2020-02-11,2020-08-18,8
Hot home order,Wingstop,2019-12-07,2020-08-11,2
Great rest order,Charlie Browns,2020-03-06,2020-09-13,5
Good day food,Flip Burger Bar,2020-04-23,2020-10-22,8
Cool quarantine snack,Denton's,2020-06-10,2020-07-30,5
Blue grab meal,Chick-fil-a Magnolia Mall,2019-11-05,2020-06-12,5
Romantic quarantine meal,Krystal,2020-05-31,2020-07-03,2
Crazy holiday snack,Vista Drive In,2019-11-08,2019-11-30,2
Good rest meal,Dairy Freeze,2020-03-21,2020-06-08,15
Cool vacay meal,Del Taco,2019-11-06,2020-01-15,12
Cool quarantine food,Nick's Burgers,2020-02-20,2020-03-03,10
Great quarantine food,Sonic Drive-in (trailer),2019-11-16,2020-03-31,2
Good rest food,Royal Buffet,2020-05-03,2020-08-28,15
Cool grab meal,Rancher's Roast Beef Inc.,2019-12-25,2020-01-04,18
Crazy day meal,Buds Chicken & Seafood,2020-01-30,2020-08-28,15
Perfect holiday order,Pita Pit,2020-01-02,2020-09-13,10
White home snack,Your Healthy Habit,2020-04-20,2020-09-08,12
Amazing holiday order,Papa Johns Pizza,2020-02-13,2020-08-20,10
Chill rest item,Cypress Best,2020-03-22,2020-09-15,2
Good vacay snack,Carl's Jr - Green Burrito,2020-02-27,2020-06-20,18
Chill rest snack,Pizza Factory,2020-06-24,2020-10-05,15
Chill day snack,Checkers,2020-03-15,2020-03-21,12
White grab item,Rapid Ray's,2020-01-02,2020-02-28,10
Amazing day meal,Subway Sandwiches,2019-11-29,2020-02-03,2
Chill holiday order,Rafael's,2020-01-02,2020-07-19,12
Smart rest meal,Scoopers,2019-12-22,2020-02-28,10
